Id	username	All	User	Friend	Network	Content	Sentiment	Temporal	LanguageAgnostic
3108028516		0.37	0.19	0.5	0.43	0.26	0.17	0.17	0.32	
706571272319344643		0.42	0.31	0.5	0.45	0.36	0.5	0.45	0.41	
872618270		0.27	0.03	0.36	0.38	0.36	0.2	0.27	0.31	
819237538279854081		0.38	0.29	0.31	0.49	0.44	0.46	0.41	0.32	
827797573		0.32	0.18	0.29	0.43	0.47	0.33	0.07	0.22	
2842515949		0.24	0.27	0.41	0.45	0.29	0.36	0.24	0.27	
31756169		0.28	0.12	0.21	0.19	0.46	0.16	0.09	0.27	
47333618		0.49	0.33	0.28	0.835714285714	0.89	0.81	0.86	0.3	
16664681		0.56	0.51	0.57	0.45	0.56	0.51	0.38	0.53	
1673508644		0.27	0.14	0.21	0.26	0.38	0.16	0.07	0.31	
19412308		0.39	0.12	0.14	0.41	0.4	0.23	0.28	0.21	
1393297200		0.34	0.36	0.26	0.26	0.46	0.21	0.22	0.25	
3558028035		0.2	0.09	0.28	0.26	0.36	0.314	0.36	0.24	
1898016314		0.4	0.38	0.34	0.65	0.56	0.66	0.44	0.34	
20092071		0.35	0.23	0.18	0.24	0.34	0.06	0.21	0.27	
990125064		0.32	0.06	0.31	0.23	0.43	0.32	0.13	0.22	
4218742998		0.36	0.42	0.26	0.39	0.25	0.24	0.23	0.32	
4042965143		0.23	0.04	0.06	0.15	0.33	0.14	0.18	0.13	
3061683608		0.49	0.17	0.36	0.25	0.43	0.34	0.23	0.4	
123271149		0.38	0.13	0.34	0.37	0.47	0.07	0.11	0.3	
2502173072		0.34	0.11	0.19	0.32	0.44	0.24	0.06	0.39	
4428047453		0.3	0.17	0.41	0.27	0.46	0.23	0.16	0.13	
48120914		0.39	0.55	0.25	0.43	0.27	0.24	0.42	0.38	
66099018		0.31	0.12	0.2	0.24	0.41	0.34	0.21	0.14	
760115421387169794		0.38	0.58	0.33	0.29	0.65	0.56	0.5	0.38	
780136355854561280		0.42	0.49	0.48	0.32	0.39	0.67	0.36	0.33	
26900055		0.46	0.53	0.38	0.58	0.49	0.35	0.24	0.47	
40616386		0.19	0.16	0.21	0.27	0.25	0.23	0.04	0.21	
889982376		0.62	0.37	0.7	0.24	0.77	0.78	0.58	0.57	
629369330		0.33	0.01	0.39	0.27	0.25	0.38	0.14	0.15	
358545917		0.42	0.37	0.37	0.33	0.52	0.25	0.29	0.3	
761207175922520064		0.36	0.16	0.56	0.56	0.41	0.42	0.29	0.42	
1222028304		0.54	0.41	0.71	0.5	0.57	0.57	0.41	0.53	
36741893		0.28	0.35	0.37	0.15	0.5	0.64	0.62	0.32	
138536728		0.35	0.24	0.3	0.42	0.37	0.26	0.3	0.23	
1242171468		0.45	0.31	0.44	0.27	0.35	0.27	0.05	0.29	
1362065839		0.4	0.28	0.43	0.07	0.41	0.21	0.16	0.29	
745210315		0.37	0.2	0.36	0.38	0.45	0.24	0.28	0.4	
1355920783		0.41	0.37	0.13	0.13	0.49	0.66	0.38	0.24	
95066166		0.35	0.22	0.69	0.31	0.61	0.51	0.34	0.28	
69483012		0.51	0.82	0.32	0.39	0.57	0.22	0.27	0.49	
17966463		0.29	0.2	0.36	0.24	0.35	0.35	0.35	0.36	
1466220247		0.51	0.28	0.22	0.7	0.67	0.5	0.57	0.37	
3498448812		0.48	0.43	0.55	0.28	0.16	0.24	0.06	0.52	
758352751		0.47	0.34	0.38	0.35	0.47	0.48	0.38	0.38	
260887591		0.31	0.17	0.27	0.3	0.24	0.27	0.17	0.28	
