userID	username	All	User	Friend	Network	Content	Sentiment	Temporal	LanguageAgnostic
388329857		0.25	0.36	0.34	0.2	0.31	0.43	0.23	0.33	
182929115		0.28	0.24	0.4	0.28	0.44	0.37	0.32	0.38	
235326480		0.37	0.28	0.1	0.34	0.55	0.25	0.08	0.28	
712976695		0.43	0.42	0.37	0.46	0.49	0.34	0.29	0.36	
24544802		0.51	0.59	0.54	0.35	0.4	0.26	0.1	0.61	
783350449948635137		0.24	0.18	0.4	0.22	0.45	0.35	0.52	0.23	
1365107749		0.42	0.36	0.44	0.5	0.33	0.27	0.28	0.35	
4913861474		0.49	0.07	0.19	0.3	0.36	0.36	0.12	0.33	
87250503		0.4	0.1	0.23	0.52	0.41	0.21	0.19	0.33	
785097534		0.32	0.1	0.36	0.37	0.47	0.36	0.28	0.31	
731195365408407552		0.36	0.19	0.35	0.27	0.39	0.2	0.26	0.32	
300989278		0.41	0.19	0.28	0.34	0.46	0.2	0.22	0.32	
2713104409		0.37	0.37	0.2	0.18	0.5075	0.28	0.12	0.3	
4891291658		0.13	0.15	0.31	0.26	0.28	0.1	0.36	0.27	
21619587		0.28	0.15	0.29	0.22	0.28	0.24	0.42	0.25	
585182654		0.3	0.18	0.2	0.15	0.53	0.354	0.22	0.33	
4805950214		0.36	0.14	0.45	0.12	0.29	0.35	0.3	0.44	
832886564		0.44	0.51	0.18	0.3	0.41	0.19	0.1	0.19	
791365039320027136		0.4	0.24	0.43	0.52	0.78	0.68	0.48	0.42	
332603508		0.37	0.23	0.32	0.41	0.4	0.45	0.19	0.33	
111571153		0.17	0.0	0.21	0.19	0.19	0.11	0.07	0.04	
485380959		0.34	0.26	0.48	0.33	0.4	0.47	0.37	0.42	
23050300		0.33	0.18	0.38	0.46	0.36	0.43	0.29	0.33	
265180424		0.29	0.14	0.29	0.47	0.33	0.24	0.15	0.25	
703700133742034946		0.39	0.43	0.44	0.5	0.64	0.58	0.51	0.37	
762788716523950080		0.33	0.27	0.3	0.18	0.54	0.42	0.18	0.35	
285902442		0.54	0.29	0.54	0.45	0.47	0.15	0.33	0.4	
1098918846		0.32	0.06	0.16	0.19	0.39	0.22	0.41	0.16	
3234416528		0.3	0.35	0.27	0.39	0.45	0.19	0.5	0.39	
608766372		0.43	0.19	0.59	0.37	0.535	0.45	0.45	0.57	
2341500979		0.56	0.78	0.3	0.48	0.48	0.34	0.21	0.53	
756357819524345857		0.33	0.13	0.34	0.35	0.5	0.33	0.19	0.3	
35525976		0.35	0.33	0.24	0.47	0.41	0.3	0.15	0.3	
27901877		0.27	0.16	0.12	0.31	0.4	0.36	0.22	0.29	
